date,open,high,low,close,volume
2022-12-19,16743.18,16814.99,16288,16437.64,5148.704055
2022-12-20,16437.63,17050.56,16397.5,16895.87,7297.200551
2022-12-21,16897.56,16924.64,16731.85,16823.94,3671.367841239
2022-12-22,16823.95,16871.3,16564.69,16817.45,3903.782922178
2022-12-23,16820.72,16941.04,16748.44,16779.61,3640.413387814
2022-12-24,16777.6,16860,16777.45,16834.7,1587.683869583
2022-12-25,16836.81,16853.99,16729.2,16830.67,1867.705098313
2022-12-26,16830.51,16938.26,16792.93,16919.34,1912.644562202
2022-12-27,16920.27,16972.2,16593.77,16701,3688.89195552
2022-12-28,16701.3,16775.1,16465.58,16541.63,4854.809107701
2022-12-29,16541.29,16655.05,16485,16624,3126.967848657
2022-12-30,16626.16,16642.16,16355,16599.7,4336.38949899
2022-12-31,16599.69,16632.33,16466.86,16525.78,2275.823406418
2023-01-01,16526.26,16621.69,16495.06,16610.74,1621.666521662
2023-01-02,16611.59,16779,16545.39,16667.33,2398.536521311
2023-01-03,16668.01,16768.05,16600,16666.58,2714.60446117
2023-01-04,16668.33,16984.54,16647.89,16845.4,5875.488076529
2023-01-05,16846.12,16873.28,16755.45,16824.44,2377.164587528
2023-01-06,16827.51,17022.87,16675,16943.75,5241.902524204
2023-01-07,16944.85,16973.73,16900.9,16937.29,1094.412081781
2023-01-08,16935.89,17150,16906.16,17120.34,2386.822590069
2023-01-09,17120.34,17387.05,17097.12,17170.82,7788.004950273
2023-01-10,17170.77,17484.53,17137.78,17434.47,6948.568752066
2023-01-11,17435.99,17988.76,17312.68,17934.99,7977.834358118
2023-01-12,17936.52,19109.28,17899.97,18843.04,21405.391412741
2023-01-13,18843.94,19988.37,18711.06,19925,15497.796986686
2023-01-14,19924.14,21239.83,19883.7,20946.55,14692.645765277
2023-01-15,20946.83,21030.76,20558.86,20865.25,6951.393636862
2023-01-16,20865.26,21446.81,19800,21178.36,5922.993817285
2023-01-17,21180.68,21547.99,20840.77,21124,6491.887709166
2023-01-18,21131.86,21620,20373.11,20660.91,6753.897401334
2023-01-19,20669.13,21190,20644.4,21077.61,3931.50313925
2023-01-20,21076.54,22749.27,20861.95,22664.78,7018.352155034
2023-01-21,22672.84,23349.81,22433.53,22780.78,8222.451315053
2023-01-22,22781.75,23071.60533994,22290.04,22711.79,5906.972833733
2023-01-23,22708.63,23164.32,22436.55,22915.79,5713.173055435
2023-01-24,22919.99,23150,22477.38,22631.09,5869.159464278
2023-01-25,22631.13,23815.12,22299,23052.85,7973.005549609
2023-01-26,23056.81,23269.77,22863.04,23014.41,4187.489242737
2023-01-27,23016.28,23506.3,22555,23076.79,5888.41266668
2023-01-28,23075.61,23186.66,22883.23,23018.6,1790.739837007
2023-01-29,23019.81,23964.19,22970,23748.04,5306.40963418
2023-01-30,23748.04,23804.04,22502.2,22834.18,5550.211671242
2023-01-31,22833.52,23297.99,22720.82,23126.91,4071.647727691
2023-02-01,23125.43,23817.91,22799.97,23743.06,6290.014258382
2023-02-02,23740.95,24250,23421.5,23484.14,9173.95074038
2023-02-03,23491.5,23725,23217.28,23432.85,5017.315648447
2023-02-04,23436.02,23588.17,23254,23340.07,2932.03660599
2023-02-05,23340.05,23436.93,22759.78,22956.41,4186.050741739
2023-02-06,22953.74,24524,17020.33,22766.52,3693.266426717
2023-02-07,22767.9,23353.36,22748.91,23247.28,6168.103890556
2023-02-08,23247.74,23600,22029,22964,6386.374377557
2023-02-09,22964.76,23604,21567,21805.29,9245.349131238
2023-02-10,21808.56,21949.23,21477.04,21629.35,6994.982189491
2023-02-11,21628.85,21909,21605.77,21870.03,2366.832940763
2023-02-12,21867.13,22092.46,21636.1,21787.3,3530.296340188
2023-02-13,21789.2,21902.6,21369.2,21790.26,7321.227128282
2023-02-14,21791.34,22329.67,21566.47,22198.52,8134.968736689
2023-02-15,22199.19,24373.54,22052.71,24330.12,10218.958558639
2023-02-16,24327.6,25220,23482,23495.64,7099.038755546
2023-02-17,23496.18,25014.65,23328.15,24576.68,8910.659889484
2023-02-18,24575.46,24877.44,23329,24632.09,1993.905893977
2023-02-19,24637.18,25199.59,24202.89,24285.89,5606.726009916
2023-02-20,24279.98,25100,23851.31,24837.85,5380.196697353
2023-02-21,24839.02,25250,24148,24454.68,9676.089141298
2023-02-22,24456.29,24482.61,23578.95,24186.06,10134.419339694
2023-02-23,24187.82,24602.09,23615,23941.32,8900.855320706
2023-02-24,23942.53,24130,22852.34,23189.33,8383.162990012
2023-02-25,23189.27,23223.77,22766,23162.84,3781.524057793
2023-02-26,23164.46,23684.52,23067.32,23556.99,4240.116285966
2023-02-27,23556.98,23896.6,23111.9,23488.76,6815.077827236
2023-02-28,23489.87,23599.63,23031.27,23142.54,4289.824042104
2023-03-01,23144.78,23994.59,23015.1,23629.97,6638.799240848
2023-03-02,23635.29,23793.18,23197.84,23466.77,5546.012462951
2023-03-03,23466.77,23480.01,22001,22358.38,7446.597391736
2023-03-04,22359.24,22411.49518932,22159.79,22347.86,2181.748919103
2023-03-05,22345.62,22653.31,22201.36,22431.13,3743.931780092
2023-03-06,22431.13,22603.25,22267.58,22403.96,3814.839324233
2023-03-07,22404.85,22554,21936.13,22199.06,6729.157326737
2023-03-08,22196.56,22282.38,21583.43,21702.77255,6377.782678131
2023-03-09,21702.13,22111.201199652,20100,20371.48,8040.689683377
2023-03-10,20375.76,21346.119749652,18700.7425,20223.08,14776.193935371
2023-03-11,20223.08,21474.480199652,19900,20615.287,6904.090885376
2023-03-12,20612.3,23131.25,20337.621283497,22182.5,8708.054060908
