date,open,high,low,close,volume
2023-04-03,92.84975,96.3540645,89.76,92.99989755,14578.375562337
2023-04-04,93.022565875,95.52164712,90.79485,92.644764,10570.42695277
2023-04-05,92.58,96.427,91.166952,92.719587,11320.271058003
2023-04-06,92.63,95.65327,89.83,91.01548518,8617.260309534
2023-04-07,91.018168065,95.04354988,89.15,90.680883945,5347.640622789
2023-04-08,90.674720645,94.5435135,89.29943621,89.9575035,2693.107715551
2023-04-09,89.94333,94.2393005,89.148,90.6762,6146.088059546
2023-04-10,90.640549425,95.2375,88.99,93.819,15506.86858324
2023-04-11,93.84,98.155598605,93.1763387,94.2761915,21760.325899209
2023-04-12,94.2848,95.92536735,89.840026,92.139935,14684.240928439
2023-04-13,92.1391377,96.083763,90.0016,94.2795859,10324.324292768
2023-04-14,94.26675,99.41,93.6095,96.3785,38052.205350563
2023-04-15,96.4,97.914402,93.5425,96.81894,4341.117687046
2023-04-16,96.79891155,102.22,94.5375,100.12458195,17620.088611522
2023-04-17,100.08471848,129.4900125,94.1724384,98.94131007,8763.088925845
2023-04-18,98.96,130.983292395,97.5855455,101.95712,14771.24953884
2023-04-19,101.9732153,101.9732153,88.8749675,90.652218,15969.672931739
2023-04-20,90.595005,93.93460245,87.17095615,90.324252235,10538.800681006
2023-04-21,90.345485,99.5946676,84.5629566,85.38966375,8780.695100668
2023-04-22,85.391944,97.234555,84.8135298,87.049746,3404.103265934
2023-04-23,87.0711962,97.69135,84.36,86.84269,3148.576408716
2023-04-24,86.837929975,97.549,86.04,88.3635,3961.505068519
2023-04-25,88.36136235,98.36578,87.0729115,91.109335,6113.732104954
2023-04-26,91.103475,100.0134105,84.486265,88.252083735,11600.984684624
2023-04-27,88.3,98.674535,87.36545,89.785651,8253.584835691
2023-04-28,89.798335,99.17735,87.84,89.70900925,7172.966227295
2023-04-29,89.70745,99.3275,89.3442895,91.2145,3638.500698041
2023-04-30,91.20110545,99.40847325,87.910385,88.326507415,4529.508904407
2023-05-01,88.3336965,98.035302,85.1820309,86.8645,12240.841505021
2023-05-02,86.84,97.9825,86.15,88.467905,4421.242717076
2023-05-03,88.5,98.50515,85.56709,88.991,6752.279854933
2023-05-04,89.0130005,94.0013615,87.54145,88.6224966,3692.724578164
2023-05-05,88.628072,93.86,86.69955,88.8986094,8559.38583403
2023-05-06,88.8779184,93.2367,81.449252215,84.0598695,11684.270334221
2023-05-07,84.06150785,87.29278844,83.5515,84.9967319,2848.494087621
2023-05-08,84.957132605,87.044350095,76.11,79.2023235,11210.49523393
2023-05-09,79.19,85.374035,78.26184615,80.58824132,4426.612175988
2023-05-10,80.589806085,85.8664,77.350950745,81.251575,6745.251396404
2023-05-11,81.2419,85.57930425,78.56,80.99447625,3599.724111677
2023-05-12,80.96998725,85.53415,77.26,80.500443,3145.007902831
2023-05-13,80.5134,85.554394205,79.8505,80.351798895,2477.559238709
2023-05-14,80.34536195,84.02005245,79.7369925,83.606035,4505.198020411
2023-05-15,83.5794,88.49,81.0325,86.92787181,9230.555839831
2023-05-16,86.94245,93.1602735,86.1933,89.96286,10673.190194057
2023-05-17,89.978848945,96.2142,87.5825,93.7440385,10033.346767834
2023-05-18,93.77,96.334989335,87.5825,90.39,5679.649249314
2023-05-19,90.39,95.428,87.5825,91.82063645,7058.738613308
2023-05-20,91.8036705,92.799845,84.7125,92.457949675,2472.110679161
2023-05-21,92.45,95.4169815,87.5825,92.273532,11133.39971119
2023-05-22,92.1411005,95.4608259,87.5825,90.8287,10088.923546248
2023-05-23,90.83,95.2704,87.5825,91.757867585,4275.919388628
2023-05-24,91.72,91.94,84.7125,85.891458,12626.750026566
2023-05-25,85.89285,88.678,79.9525,86.66995,9997.541123284
2023-05-26,86.622593,89.96035,84.7125,87.1773651,8023.768734747
2023-05-27,87.1841664,90.509991995,84.7125,88.6763074,4377.973088962
2023-05-28,88.69,94.230408,87.5825,91.5,8086.105522226
2023-05-29,91.56,92.20092,84.7125,90.9248255,6071.873606966
2023-05-30,90.9,93.3939505,90.58874339,92.271,7846.545812603
2023-05-31,92.29774795,93.743,82.7289,90.43775,13209.741433415
2023-06-01,90.4623535,97.78995,85.5125,94.23,21696.107445188
2023-06-02,94.22,95.6781854,88.3425,95.46331,9535.105721057
2023-06-03,95.48,97.5,94.200735,96.1196,6418.991325929
2023-06-04,96.108006875,96.548492145,93.93,94.3572605,6602.12646486
2023-06-05,94.28,97.5,83.69,87.860515,34683.617947971
2023-06-06,87.9,141.5,85.86,91.753305,24762.519915755
2023-06-07,91.79,96,86.906950435,88.87625,39562.070851339
2023-06-08,88.85209865,92.01,87.2045,88.50895,4527.182698583
2023-06-09,88.500909,90.04,86.68,89.291352655,10354.201741435
2023-06-10,89.275738215,89.38,74.155285,77.170955,10769.453521872
2023-06-11,77.17807665,79.15,76.215666,77.6864,3342.817376028
2023-06-12,77.88,78.4,75.119118,77.49175,3664.010210398
2023-06-13,77.4682825,80.44,76.23582353,77.48666925,2835.219329421
2023-06-14,77.52033765,79,70.84349445,73.16461173,910.44105932
2023-06-15,73.153005,75.06430268,71.6410503,74.5656,70.49857939
2023-06-16,74.501717195,77.0915,73.71835,76.10784655,5.462149975
2023-06-17,76.07332515,86.5979455,75.65741806,76.828781,10.485333322
2023-06-18,76.8502555,78.532644,76.187535,77.16384,27.812762622
2023-06-19,76.95,85.110335,75.68989775,77.4642609,24.752989635
2023-06-20,77.438475,85.2825,75.5440786,80.3354089,13.400187047
2023-06-21,80.36455,90.19305,79.2225,85.02966515,88.501149929
2023-06-22,85.034075,92.107305185,80.7225,85.95173,64.708646673
2023-06-23,85.9660355,93.752,85.094372555,91.263615,56.102151956
2023-06-24,91.29168,93.7635155,86.55075,89.7207429,45.811106798
2023-06-25,89.8009418,90.69641,86.2885,88.2435,62.81665619
2023-06-26,88.231271365,90.8172682965,85.910435,87.1951,100.202584441
2023-06-27,87.23710175,91.304929471,86.570895,88.0734188,13.513100457
